Table 1,,,,,,,,
serialNo,car_brand,car_model,model_name_th,nickname,item_name,fitment_detail,standard_price,
AC-0000006,MERCEDES-BENZ,"E-CLASS, E220","อีคลาส, อี220",โฉมปี 1993-1995 (W124),จานดิสเบรค,หลัง,950.00,
IC-0000013,MERCEDES-BENZ,"E-CLASS,190E","อีคลาส,190อี",โฉมปี 1990-1994 (W201),ไส้กรองน้ำมันเครื่อง,-,,
DF-0700339,MERCEDES-BENZ,"C-CLASS, C200","ซี-คลาส,ซี200",โฉมปี 2007-2014 (W204),ลูกหมากกันโคลง,หน้า,,
AA-0000124,MERCEDES-BENZ,"E-CLASS, E230","อีคลาส, อี230",โฉมปี 1996-2002 (W210),ผ้าดิสเบรค,หลัง,"1,200.00",
IC-0000005,VOLKSWAGEN,GOLF,กอล์ฟ,โฉมปี 1991-1997 (MK3),ไส้กรองน้ำมันเครื่อง,-,,
AB-0000022,VOLKSWAGEN,GOLF,กอล์ฟ,โฉมปี 1991-1997 (MK3),ก้ามเบรค,หลัง,"1,450.00",
AE-0000043,VOLKSWAGEN,GOLF,กอล์ฟ,โฉมปี 1991-1997 (MK3),กระบอกเบรค,หลัง,600.00,
Z-06400001,VOLKSWAGEN,PASSAT,พัสสาท,โฉมปี 2005-2015 (B6),สายไฟ ABS,หลัง,"2,260.00",
Z-02900001,VOLKSWAGEN,PASSAT,พัสสาท,โฉมปี 2005-2015 (B6),รีเรย์,-,,
EA-0100119,VOLKSWAGEN,SCIROCCO,ซีร๊อคโค่,โฉมปี 2008-2017,สายพานไดร์ชาร์จ (หน้าเครื่อง),-,,
Z-13100001,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),สวิทช์ปั๊มดูดน้ำ,-,,
HI-0000001,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ซีลเฟืองท้าย,-,180.00,
AA-0000049,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ผ้าดิสเบรค,หน้า,650.00,
AA-0000038,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ผ้าดิสเบรค,หลัง,750.00,
AA-0000127,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ผ้าดิสเบรค,หน้า,900.00,
AA-0000083,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ผ้าดิสเบรค,หน้า,650.00,
HB-0700014,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),แม่ปั๊มคลัทช์,ล่าง,550.00,
HB-0500003,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ลูกปืนปลายเกียร์,-,140.00,
HB-0500008,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ลูกปืนปลายเกียร์,-,140.00,
